Email_ID,Age_Group,Gender,Region,Device_Used,Previous_Hulu_Subscription_Length,Preferred_Genre,Subscription_Status,Hulu_Watch_Time,Hulu_Subscription_Date,Hulu_Cancellation_Date
40,25-34,Male,Europe,Tablet,28,Drama,Subscribed,39066,2022-02-03,2023-10-02
41,18-24,Female,Africa,,13,Drama,Not Subscribed,48355,2022-08-05,2023-04-06
42,18-24,Male,Asia,,23,Thriller,Not Subscribed,96347,2021-11-06,2022-12-15
43,35-44,Undisclosed,Africa,Tablet,60,Thriller,Subscribed,52064,2021-12-30,
44,45-54,Undisclosed,South America,TV,30,Drama,Not Subscribed,94897,2023-04-26,
45,18-24,Male,North America,,55,Thriller,Not Subscribed,81547,2022-04-26,
46,25-34,Female,Africa,TV,24,Thriller,Not Subscribed,16424,2022-10-05,2023-03-14
47,45-54,Male,North America,Mobile,35,Drama,Not Subscribed,45897,2021-11-26,
48,18-24,Male,North America,TV,51,Sci-Fi,Subscribed,7504,2021-12-26,
49,18-24,Female,South America,Tablet,13,Fantasy,Not Subscribed,2795,2022-05-27,
50,45-54,,South America,Mobile,29,Sci-Fi,Not Subscribed,48274,2022-07-31,2024-03-07
51,18-24,Female,Asia,Tablet,51,Drama,Subscribed,61260,2022-01-25,2024-07-31
52,45-54,Undisclosed,South America,TV,37,Action,Subscribed,86774,2022-10-17,2023-01-08
53,25-34,Female,South America,Tablet,38,Fantasy,Not Subscribed,41962,2023-08-04,2023-09-20
54,25-34,,South America,TV,21,Sci-Fi,Not Subscribed,35017,2022-08-16,2024-05-08
55,45-54,Male,North America,Tablet,52,Fantasy,Not Subscribed,45517,2023-09-13,
56,25-34,Undisclosed,South America,Mobile,50,Comedy,Not Subscribed,65339,2022-08-25,2023-06-20
57,35-44,Male,South America,,39,Thriller,Not Subscribed,81863,2022-10-12,2023-10-10
58,25-34,Female,Europe,TV,4,Thriller,Not Subscribed,52690,2023-09-02,2024-06-13
59,55+,Female,Europe,Tablet,49,Sci-Fi,Not Subscribed,80078,2022-05-09,2023-04-27
60,25-34,Male,Africa,TV,9,Thriller,Not Subscribed,89241,2022-11-05,
61,25-34,Female,South America,,9,Comedy,Not Subscribed,38767,2021-10-31,2023-06-29
62,25-34,Male,South America,Tablet,58,Drama,Subscribed,8504,2023-09-11,
63,55+,,South America,TV,11,Thriller,Not Subscribed,83884,2023-04-25,
64,35-44,,Africa,TV,26,Sci-Fi,Not Subscribed,15705,2023-08-15,
65,55+,Female,North America,Tablet,4,Sci-Fi,Not Subscribed,32537,2022-01-16,2022-07-06
66,18-24,Male,Asia,TV,35,Drama,Not Subscribed,18569,2023-08-12,
67,35-44,,Asia,Tablet,31,Fantasy,Not Subscribed,14410,2023-05-09,
68,35-44,Female,North America,TV,11,Fantasy,Not Subscribed,12777,2022-10-08,2023-07-30
69,25-34,Female,Europe,,31,Fantasy,Subscribed,26769,2023-05-12,
70,25-34,Undisclosed,North America,TV,5,Drama,Subscribed,17047,2022-08-17,2024-04-27
71,45-54,Male,Europe,Mobile,57,Fantasy,Subscribed,73881,2022-12-09,2024-03-21
72,18-24,,South America,Mobile,1,Fantasy,Not Subscribed,75162,2023-08-18,
73,18-24,Undisclosed,North America,TV,19,Action,Not Subscribed,75116,2023-05-15,2023-10-03
74,35-44,Female,South America,Tablet,2,Thriller,Subscribed,90681,2022-04-04,2024-01-10
75,18-24,Male,Africa,Mobile,44,Sci-Fi,Not Subscribed,9603,2023-02-24,
76,35-44,Female,Asia,Mobile,25,Fantasy,Not Subscribed,60616,2023-02-22,2024-02-20
77,35-44,Undisclosed,Europe,Tablet,35,Action,Not Subscribed,98890,2023-02-23,
78,25-34,Female,Asia,Mobile,13,Thriller,Not Subscribed,14530,2022-08-28,2024-01-15
79,25-34,Male,Africa,Mobile,7,Fantasy,Not Subscribed,14118,2022-10-16,2023-07-12
80,35-44,Female,North America,,57,Drama,Subscribed,72680,2023-05-09,
81,25-34,Female,Asia,TV,25,Sci-Fi,Not Subscribed,52177,2022-07-14,
82,45-54,Female,Europe,Mobile,1,Drama,Not Subscribed,35053,2022-08-02,
83,18-24,Female,Europe,Tablet,60,Fantasy,Not Subscribed,77224,2022-11-05,
84,55+,Male,Asia,Mobile,29,Comedy,Not Subscribed,14517,2022-10-03,2023-06-29
85,45-54,Male,Asia,Mobile,22,Drama,Not Subscribed,48888,2023-03-05,
86,25-34,Male,South America,Mobile,11,Fantasy,Not Subscribed,39609,2022-04-06,2023-10-19
87,18-24,Undisclosed,South America,TV,15,Drama,Subscribed,57274,2022-01-23,2024-03-21
88,45-54,,North America,Mobile,21,Action,Not Subscribed,27907,2023-08-16,
89,25-34,Male,Africa,Tablet,4,Thriller,Not Subscribed,56066,2023-01-28,2024-05-12
90,35-44,Female,Europe,TV,11,Comedy,Not Subscribed,79392,2022-01-29,
91,18-24,Female,Africa,Tablet,23,Drama,Subscribed,57511,2021-09-26,
92,45-54,Female,Asia,TV,47,Comedy,Not Subscribed,11772,2023-03-27,2023-08-04
93,35-44,Female,South America,Mobile,3,Drama,Not Subscribed,61660,2022-08-04,2023-06-11
94,18-24,Female,Asia,TV,45,Drama,Subscribed,48199,2023-08-25,
95,25-34,Male,South America,TV,4,Fantasy,Not Subscribed,2786,2023-05-02,
96,45-54,Female,South America,,27,Comedy,Not Subscribed,96562,2023-07-16,
97,25-34,Male,North America,Tablet,56,Drama,Not Subscribed,77822,2023-07-21,
98,55+,Undisclosed,Europe,Mobile,22,Comedy,Not Subscribed,80755,2021-09-27,
99,35-44,Undisclosed,South America,TV,19,Drama,Subscribed,90102,2023-01-15,
100,18-24,Undisclosed,North America,TV,15,Sci-Fi,Not Subscribed,78257,2022-01-29,
101,45-54,Male,South America,Mobile,46,Fantasy,Not Subscribed,74088,2023-04-06,
102,35-44,Undisclosed,North America,TV,11,Comedy,Subscribed,67834,2022-05-22,2024-05-19
103,25-34,Male,South America,Mobile,60,Drama,Subscribed,92070,2022-06-14,
104,25-34,Female,Africa,Tablet,45,Action,Not Subscribed,8520,2022-01-24,2024-06-19
105,45-54,Undisclosed,Africa,Tablet,12,Sci-Fi,Not Subscribed,64348,2023-09-12,
106,25-34,,Asia,Mobile,49,Fantasy,Subscribed,67939,2022-09-22,
107,55+,Male,Asia,,22,Thriller,Subscribed,80674,2021-12-17,
108,18-24,Male,South America,Mobile,36,Action,Subscribed,91688,2022-10-01,
109,18-24,Undisclosed,Africa,Mobile,37,Action,Not Subscribed,22965,2022-08-31,2023-05-21
110,35-44,Undisclosed,Africa,TV,34,Sci-Fi,Not Subscribed,42696,2021-12-18,2024-09-07
111,55+,Male,North America,TV,7,Sci-Fi,Not Subscribed,66068,2021-12-24,
112,25-34,Undisclosed,North America,TV,37,Drama,Not Subscribed,86418,2022-06-05,2024-06-12
113,25-34,Male,South America,Tablet,39,Comedy,Not Subscribed,15397,2023-05-08,2023-07-14
114,35-44,Undisclosed,Europe,Tablet,26,Action,Not Subscribed,29695,2021-12-09,2023-11-19
115,45-54,Undisclosed,North America,Mobile,7,Sci-Fi,Subscribed,90854,2023-07-19,2024-08-22
116,18-24,,North America,Tablet,44,Drama,Subscribed,45853,2022-10-25,2023-01-16
117,25-34,Undisclosed,South America,Tablet,41,Fantasy,Subscribed,84034,2023-03-01,2023-09-20
118,25-34,Male,South America,Tablet,2,Action,Subscribed,4919,2023-03-05,2023-06-08
119,55+,Female,Europe,Tablet,59,Fantasy,Not Subscribed,55810,2023-04-14,
120,35-44,Undisclosed,Africa,,26,Drama,Subscribed,16531,2023-08-19,2024-02-08
121,18-24,Undisclosed,North America,Tablet,48,Fantasy,Not Subscribed,63935,2023-07-12,2024-05-03
122,35-44,Female,South America,Mobile,57,Action,Not Subscribed,15732,2022-05-29,
123,55+,Male,South America,Mobile,4,Sci-Fi,Not Subscribed,33880,2021-11-26,
124,25-34,Female,Africa,Tablet,40,Thriller,Subscribed,6356,2023-09-02,
125,35-44,Female,North America,Mobile,57,Comedy,Not Subscribed,61068,2022-02-02,2024-03-23
126,45-54,Male,Africa,Tablet,33,Comedy,Not Subscribed,58850,2022-07-29,
127,18-24,Undisclosed,Africa,,21,Sci-Fi,Not Subscribed,85204,2023-03-14,
128,35-44,Male,Asia,Mobile,37,Comedy,Not Subscribed,37951,2022-09-21,
129,18-24,Undisclosed,South America,,16,Drama,Subscribed,24370,2023-02-22,2023-07-13
130,25-34,Female,South America,Mobile,10,Fantasy,Subscribed,82713,2021-12-05,2022-04-12
131,18-24,,South America,Mobile,7,Action,Not Subscribed,62894,2022-10-03,2024-04-14
132,45-54,Male,Africa,Tablet,3,Fantasy,Not Subscribed,28658,2023-03-30,
133,45-54,Female,Asia,Mobile,52,Action,Not Subscribed,85536,2023-08-16,2023-09-08
134,45-54,Female,Europe,Tablet,14,Drama,Not Subscribed,54750,2021-12-12,
135,35-44,Male,Africa,Tablet,9,Comedy,Subscribed,96031,2022-03-14,
136,45-54,Undisclosed,Africa,Mobile,14,Action,Not Subscribed,77553,2022-10-05,2023-02-06
137,45-54,Male,Europe,TV,32,Comedy,Not Subscribed,18103,2023-04-14,2023-09-25
138,45-54,Male,Asia,TV,18,Action,Not Subscribed,72317,2023-03-14,
139,55+,Female,Europe,Mobile,58,Sci-Fi,Subscribed,70467,2021-11-04,2024-02-29
140,45-54,Female,North America,Mobile,9,Thriller,Not Subscribed,55542,2022-03-06,
141,18-24,Undisclosed,Europe,TV,48,Comedy,Not Subscribed,35960,2022-08-21,2024-07-11
142,55+,Male,North America,TV,8,Drama,Not Subscribed,49541,2021-10-01,2024-09-06
143,18-24,Undisclosed,Africa,Tablet,40,Thriller,Not Subscribed,2082,2023-07-05,2024-06-09
144,25-34,Male,North America,Mobile,57,Thriller,Not Subscribed,54361,2023-01-07,
145,55+,Male,North America,TV,57,Action,Not Subscribed,28668,2021-09-27,
146,45-54,Undisclosed,North America,Mobile,24,Comedy,Subscribed,37813,2022-06-16,2023-10-22
147,25-34,Undisclosed,Asia,TV,57,Thriller,Not Subscribed,45014,2023-04-09,2023-12-14
148,25-34,Male,Africa,Tablet,15,Thriller,Not Subscribed,62149,2022-05-12,2024-05-07
149,18-24,Undisclosed,South America,TV,32,Thriller,Subscribed,45201,2022-01-30,
150,45-54,Male,Europe,Tablet,49,Sci-Fi,Subscribed,84146,2023-04-02,
151,35-44,Female,South America,Mobile,51,Fantasy,Not Subscribed,90887,2022-07-08,
152,25-34,Male,Africa,Tablet,30,Action,Subscribed,70485,2022-04-12,2024-08-02
153,55+,Female,Asia,TV,14,Drama,Not Subscribed,34343,2022-08-04,2022-09-23
154,45-54,Male,South America,Mobile,34,Sci-Fi,Not Subscribed,39315,2022-04-02,
155,55+,Female,Asia,Mobile,16,Action,Not Subscribed,29820,2022-03-09,
156,55+,Female,Asia,TV,21,Sci-Fi,Not Subscribed,21493,2022-09-08,2023-10-12
157,18-24,Male,Africa,Mobile,38,Comedy,Not Subscribed,54987,2022-10-09,2023-06-06
158,55+,Undisclosed,North America,Tablet,10,Sci-Fi,Not Subscribed,36715,2023-08-04,
159,18-24,,South America,TV,17,Fantasy,Subscribed,91581,2021-12-13,2024-04-21
160,18-24,,North America,,16,Sci-Fi,Subscribed,66159,2022-03-22,
161,45-54,Male,North America,Mobile,11,Sci-Fi,Not Subscribed,4337,2021-10-28,
162,55+,Female,Europe,TV,57,Thriller,Not Subscribed,15463,2022-05-24,2023-04-21
163,45-54,Undisclosed,Europe,Tablet,45,Sci-Fi,Not Subscribed,83341,2022-12-31,2024-05-11
164,45-54,Male,South America,,50,Action,Not Subscribed,19017,2023-06-11,
165,35-44,Undisclosed,Asia,Mobile,48,Comedy,Not Subscribed,19490,2023-04-12,
166,45-54,Undisclosed,South America,Tablet,7,Comedy,Not Subscribed,60827,2022-01-20,2024-02-15
167,25-34,Female,North America,TV,39,Fantasy,Not Subscribed,16010,2022-10-12,2023-12-28
168,25-34,Female,South America,Tablet,34,Drama,Not Subscribed,66188,2022-04-23,2024-04-05
169,55+,Male,South America,Mobile,4,Drama,Not Subscribed,1885,2021-10-25,2021-11-19
170,25-34,Male,South America,TV,53,Action,Not Subscribed,49419,2022-04-01,
171,25-34,Female,Europe,TV,55,Fantasy,Not Subscribed,71855,2022-09-01,
172,55+,Male,South America,,17,Thriller,Not Subscribed,43404,2022-11-09,2023-07-05
173,45-54,Male,South America,Mobile,3,Comedy,Not Subscribed,92472,2022-05-08,2022-06-23
174,18-24,Female,South America,Tablet,49,Drama,Not Subscribed,23768,2022-03-05,2023-03-05
175,35-44,,Africa,TV,10,Action,Not Subscribed,69369,2022-11-22,
176,45-54,Male,North America,Mobile,56,Sci-Fi,Not Subscribed,96704,2023-05-23,
177,45-54,Undisclosed,Asia,Tablet,25,Fantasy,Not Subscribed,81260,2022-10-20,2023-08-31
178,25-34,Female,North America,Mobile,51,Drama,Subscribed,55099,2022-04-21,2022-09-24
179,35-44,Male,Europe,Tablet,27,Comedy,Not Subscribed,72324,2022-04-27,
180,35-44,Female,Africa,TV,47,Sci-Fi,Subscribed,74841,2023-08-16,2023-11-12
181,45-54,Undisclosed,Asia,Tablet,23,Sci-Fi,Not Subscribed,38792,2022-11-21,2024-01-18
182,55+,Male,Asia,TV,43,Thriller,Not Subscribed,7708,2022-10-07,2024-02-05
183,25-34,Undisclosed,South America,Mobile,42,Thriller,Not Subscribed,33348,2021-10-29,
184,45-54,Female,North America,Tablet,31,Drama,Not Subscribed,12548,2022-07-25,
185,45-54,Male,Asia,TV,32,Drama,Not Subscribed,35189,2021-12-15,2023-09-02
186,35-44,Undisclosed,South America,Tablet,15,Comedy,Subscribed,48841,2022-04-14,2023-12-13
187,55+,,South America,Tablet,52,Comedy,Not Subscribed,45419,2023-06-20,2024-06-11
188,55+,Undisclosed,Africa,Mobile,59,Thriller,Subscribed,2065,2022-01-15,2023-12-25
189,25-34,,Europe,Mobile,58,Comedy,Not Subscribed,10915,2021-11-17,2022-10-18
190,35-44,Undisclosed,South America,Mobile,25,Drama,Not Subscribed,1716,2023-06-22,
191,25-34,Female,North America,Mobile,52,Fantasy,Not Subscribed,55237,2021-12-01,2022-02-28
192,45-54,Female,North America,Tablet,20,Comedy,Not Subscribed,60953,2023-06-08,
193,18-24,Male,South America,Tablet,41,Drama,Not Subscribed,65695,2021-10-24,2023-04-25
194,18-24,Undisclosed,Asia,Mobile,54,Drama,Not Subscribed,25431,2022-03-07,2023-04-03
195,25-34,Female,North America,Mobile,39,Comedy,Subscribed,22820,2022-09-27,2023-01-02
196,25-34,Undisclosed,Asia,TV,53,Sci-Fi,Subscribed,68412,2022-12-19,
197,25-34,Undisclosed,North America,TV,60,Fantasy,Not Subscribed,65973,2023-04-13,2023-10-01
198,25-34,Undisclosed,North America,TV,58,Thriller,Subscribed,44544,2023-06-26,
199,35-44,Male,Africa,Mobile,11,Action,Not Subscribed,44990,2023-01-11,2024-08-19
200,18-24,Female,South America,TV,40,Action,Subscribed,38969,2022-09-05,
201,35-44,Male,Africa,Mobile,44,Thriller,Subscribed,27168,2022-08-03,2024-03-27
202,18-24,Undisclosed,Europe,Tablet,22,Thriller,Subscribed,79823,2023-07-03,
203,55+,Female,North America,Mobile,59,Thriller,Not Subscribed,10829,2022-04-10,
204,18-24,Male,South America,Tablet,9,Fantasy,Not Subscribed,33285,2023-07-05,2023-07-31
205,45-54,Female,Africa,Tablet,10,Sci-Fi,Not Subscribed,30859,2023-03-20,
206,18-24,,Europe,TV,56,Fantasy,Not Subscribed,61637,2023-01-19,2024-01-22
207,45-54,Female,South America,Tablet,18,Drama,Not Subscribed,35072,2021-12-22,2024-04-29
208,45-54,Female,Africa,TV,51,Action,Not Subscribed,55032,2023-02-10,2023-03-24
209,55+,,Europe,,40,Sci-Fi,Not Subscribed,91102,2023-05-27,
210,55+,Male,South America,Mobile,57,Fantasy,Not Subscribed,69416,2022-02-28,
211,18-24,Female,South America,Mobile,59,Comedy,Not Subscribed,43015,2023-08-22,
212,55+,Female,Africa,Tablet,24,Fantasy,Subscribed,72446,2021-11-11,
213,45-54,Undisclosed,North America,Tablet,52,Comedy,Subscribed,87654,2021-10-20,
214,25-34,Undisclosed,South America,TV,20,Comedy,Subscribed,30895,2022-02-07,2024-08-14
215,55+,Undisclosed,North America,TV,38,Drama,Subscribed,75107,2022-02-19,2022-03-23
216,18-24,Female,Europe,TV,13,Action,Subscribed,3277,2023-07-26,
217,35-44,Female,Africa,Mobile,19,Drama,Not Subscribed,82139,2021-12-01,
218,25-34,Female,Africa,Tablet,47,Fantasy,Not Subscribed,97383,2022-12-06,
219,18-24,,North America,TV,3,Sci-Fi,Not Subscribed,42176,2021-10-10,2024-05-19
220,35-44,Female,South America,Tablet,8,Action,Not Subscribed,36842,2022-06-19,2024-01-31
221,55+,Undisclosed,Asia,Mobile,39,Sci-Fi,Not Subscribed,89803,2022-11-27,
222,18-24,Undisclosed,Europe,TV,21,Drama,Not Subscribed,71592,2022-05-02,
223,45-54,,Europe,TV,52,Fantasy,Subscribed,52511,2022-07-19,
224,45-54,,Africa,Mobile,54,Comedy,Not Subscribed,59484,2022-11-24,2024-04-05
225,18-24,Male,Europe,Tablet,49,Sci-Fi,Not Subscribed,2419,2023-01-05,2024-03-24
226,18-24,Female,Europe,,2,Sci-Fi,Not Subscribed,19718,2021-12-06,2024-07-29
227,18-24,,Europe,TV,31,Drama,Not Subscribed,78732,2022-03-02,
228,35-44,Male,Europe,TV,49,Thriller,Subscribed,22950,2022-08-02,2023-03-08
229,35-44,Female,South America,Tablet,57,Thriller,Not Subscribed,92186,2022-07-18,
230,55+,Female,South America,Tablet,39,Fantasy,Not Subscribed,67123,2022-03-06,2022-03-08
231,25-34,Female,Europe,Mobile,12,Sci-Fi,Not Subscribed,70728,2022-03-21,2023-11-25
232,25-34,Undisclosed,Europe,Mobile,55,Comedy,Subscribed,23187,2022-11-03,
233,45-54,Female,South America,,8,Drama,Subscribed,67431,2021-09-19,2023-02-18
234,45-54,,North America,TV,27,Sci-Fi,Not Subscribed,28686,2022-07-24,2022-12-25
235,55+,Female,South America,Tablet,26,Thriller,Not Subscribed,17642,2023-04-26,
236,55+,Female,North America,TV,22,Thriller,Subscribed,44389,2021-12-12,2022-09-09
237,45-54,Male,Europe,TV,5,Action,Not Subscribed,17325,2023-04-14,
238,25-34,Undisclosed,North America,Tablet,49,Fantasy,Subscribed,79685,2022-11-17,2024-02-19
239,55+,Undisclosed,North America,TV,32,Comedy,Subscribed,50885,2023-05-29,2023-10-03
240,55+,Undisclosed,South America,Mobile,17,Fantasy,Not Subscribed,81416,2023-06-02,
241,55+,,South America,,14,Drama,Not Subscribed,62912,2023-03-10,
242,25-34,Male,Europe,Tablet,17,Comedy,Not Subscribed,22477,2023-01-08,
243,35-44,Male,North America,TV,28,Action,Subscribed,24333,2023-01-14,2023-01-16
244,55+,Undisclosed,Europe,Mobile,13,Thriller,Not Subscribed,39620,2022-07-18,2023-11-27
245,45-54,Male,Asia,Mobile,14,Thriller,Not Subscribed,41409,2022-01-03,
246,25-34,Female,North America,Mobile,39,Fantasy,Not Subscribed,95573,2022-08-20,
247,55+,Undisclosed,Europe,Mobile,43,Sci-Fi,Subscribed,73268,2022-10-30,
248,55+,Male,North America,Mobile,48,Comedy,Not Subscribed,91511,2023-01-01,
249,18-24,Male,Africa,Tablet,58,Thriller,Not Subscribed,10099,2022-04-20,
250,45-54,Male,South America,Tablet,14,Drama,Subscribed,80751,2022-04-27,2022-09-23
251,25-34,,Africa,Mobile,30,Fantasy,Not Subscribed,58390,2022-05-12,2024-03-05
252,35-44,Male,Europe,TV,1,Drama,Subscribed,78423,2022-10-31,
253,45-54,Undisclosed,Africa,Mobile,28,Comedy,Not Subscribed,45825,2023-05-18,2024-08-01
254,55+,Female,Africa,TV,5,Comedy,Not Subscribed,29814,2022-01-01,
255,35-44,Male,Africa,Tablet,49,Drama,Not Subscribed,94639,2023-05-27,
256,55+,Female,Europe,Tablet,51,Fantasy,Not Subscribed,9428,2022-08-06,2023-03-06
257,35-44,,North America,Tablet,48,Comedy,Not Subscribed,81150,2021-10-07,
258,35-44,Undisclosed,Asia,TV,30,Sci-Fi,Not Subscribed,62464,2023-01-26,2023-07-10
259,25-34,Female,North America,Tablet,35,Fantasy,Not Subscribed,57111,2022-04-14,2023-09-17
260,45-54,Male,Asia,Mobile,25,Action,Not Subscribed,44329,2022-03-26,2022-08-30
261,45-54,Female,Europe,Mobile,26,Thriller,Not Subscribed,41859,2021-09-25,2022-01-13
262,45-54,Undisclosed,South America,Tablet,59,Action,Not Subscribed,65786,2023-08-24,
263,55+,Undisclosed,Europe,TV,49,Fantasy,Not Subscribed,76179,2023-04-10,
264,25-34,Male,North America,Tablet,33,Comedy,Not Subscribed,95605,2022-07-13,2024-02-29
265,18-24,Undisclosed,Europe,TV,46,Drama,Not Subscribed,95365,2022-05-13,2023-09-28
266,55+,Male,South America,Mobile,11,Action,Subscribed,70119,2023-01-09,
267,18-24,Undisclosed,North America,Mobile,49,Drama,Not Subscribed,6612,2021-11-28,
268,55+,Undisclosed,South America,Mobile,7,Sci-Fi,Not Subscribed,25603,2022-12-07,2023-07-22
269,45-54,Male,South America,TV,30,Comedy,Not Subscribed,16732,2022-08-03,2022-08-21
270,18-24,Female,South America,TV,39,Sci-Fi,Not Subscribed,77244,2022-02-18,
271,18-24,Male,Asia,Mobile,26,Thriller,Not Subscribed,63326,2022-12-17,
272,55+,,South America,TV,27,Action,Not Subscribed,76923,2023-08-21,2024-07-15
273,18-24,Female,North America,TV,35,Drama,Subscribed,56271,2021-12-16,2024-06-16
274,35-44,,Europe,TV,14,Drama,Subscribed,20025,2022-06-29,
275,55+,Female,Europe,TV,43,Comedy,Subscribed,52269,2023-05-19,
276,18-24,Female,North America,TV,20,Action,Not Subscribed,29332,2023-05-18,2023-10-27
277,45-54,Undisclosed,Asia,TV,39,Thriller,Subscribed,27886,2023-07-18,2024-07-13
278,55+,Female,Asia,Mobile,25,Sci-Fi,Not Subscribed,44618,2022-07-17,
279,45-54,,Europe,Tablet,7,Thriller,Subscribed,59288,2022-08-16,2024-03-22
280,18-24,Female,North America,Mobile,10,Thriller,Not Subscribed,46879,2022-11-11,
281,25-34,Male,Asia,TV,2,Comedy,Not Subscribed,95545,2023-05-02,2023-07-30
282,35-44,Undisclosed,Europe,Tablet,9,Action,Not Subscribed,61949,2022-01-31,
283,18-24,Female,South America,Tablet,15,Fantasy,Subscribed,70347,2021-12-21,
284,35-44,Undisclosed,South America,Mobile,34,Sci-Fi,Subscribed,22927,2022-04-29,2022-10-11
285,55+,Undisclosed,Africa,Mobile,33,Thriller,Not Subscribed,63697,2022-07-05,
286,35-44,Female,Africa,Mobile,40,Drama,Not Subscribed,1978,2022-05-08,2023-10-18
287,55+,Male,Asia,TV,49,Action,Not Subscribed,52268,2022-11-06,
288,18-24,Female,Asia,Tablet,56,Thriller,Subscribed,23528,2022-05-12,2023-06-22
289,25-34,Female,North America,Tablet,25,Drama,Subscribed,87706,2023-06-03,
290,18-24,Male,Africa,Mobile,12,Comedy,Not Subscribed,4075,2021-11-02,2022-01-13
291,25-34,Male,Europe,Tablet,51,Drama,Not Subscribed,12454,2023-02-13,
292,18-24,Male,Asia,TV,48,Comedy,Not Subscribed,74196,2023-01-31,2023-12-22
293,55+,Male,Europe,TV,59,Drama,Not Subscribed,39397,2023-09-04,2024-03-22
294,25-34,Undisclosed,Europe,Mobile,26,Thriller,Not Subscribed,13674,2021-12-22,
295,18-24,Female,South America,Mobile,52,Drama,Not Subscribed,46782,2022-03-06,2022-04-24
296,45-54,,Africa,TV,37,Fantasy,Not Subscribed,92738,2023-07-20,2023-12-06
297,45-54,Undisclosed,Europe,,21,Thriller,Not Subscribed,82401,2023-05-08,2024-03-15
298,25-34,Female,Asia,,50,Fantasy,Not Subscribed,72871,2023-01-26,2024-01-27
299,25-34,Undisclosed,Africa,Tablet,5,Comedy,Not Subscribed,76287,2022-09-24,
300,18-24,Male,South America,Mobile,29,Action,Subscribed,43168,2023-06-12,
